,Futures IPE Gas Oil 2nd month Close,Futures IPE Gas Oil 2nd month Close,Futures IPE Gas Oil 2nd month Close,Futures IPE Gas Oil 2nd month Close
28-Jun-00,247.25,247.25,247.25,247.25
27-Jun-00,241.25,241.25,241.25,241.25
26-Jun-00,244.5,244.5,244.5,244.5
23-Jun-00,242.75,242.75,242.75,242.75
22-Jun-00,239.5,239.5,239.5,239.5
21-Jun-00,238,238,238,238
20-Jun-00,228.75,228.75,228.75,228.75
19-Jun-00,221.25,221.25,221.25,221.25
16-Jun-00,227.25,227.25,227.25,227.25
15-Jun-00,231.5,231.5,231.5,231.5
14-Jun-00,236.25,236.25,236.25,236.25
13-Jun-00,237,237,237,237
12-Jun-00,233.25,233.25,233.25,233.25
9-Jun-00,226.75,226.75,226.75,226.75
8-Jun-00,228.5,228.5,228.5,228.5
7-Jun-00,223.25,223.25,223.25,223.25
6-Jun-00,227.75,227.75,227.75,227.75
5-Jun-00,223.25,223.25,223.25,223.25
2-Jun-00,228.5,228.5,228.5,228.5
1-Jun-00,225.5,225.5,225.5,225.5
31-May-00,225.25,225.25,225.25,225.25
30-May-00,228.5,228.5,228.5,228.5
29-May-00,229.25,229.25,229.25,229.25
26-May-00,230,230,230,230
25-May-00,228.5,228.5,228.5,228.5
24-May-00,225.5,225.5,225.5,225.5
23-May-00,219.75,219.75,219.75,219.75
22-May-00,221.75,221.75,221.75,221.75
19-May-00,229,229,229,229
18-May-00,229.5,229.5,229.5,229.5
17-May-00,223.25,223.25,223.25,223.25
16-May-00,224.75,224.75,224.75,224.75
15-May-00,224,224,224,224
12-May-00,227,227,227,227
11-May-00,222.75,222.75,222.75,222.75
10-May-00,218,218,218,218
9-May-00,213,213,213,213
8-May-00,205.75,205.75,205.75,205.75
5-May-00,202,202,202,202
4-May-00,205.75,205.75,205.75,205.75
3-May-00,207.75,207.75,207.75,207.75
2-May-00,208.25,208.25,208.25,208.25
1-May-00,205.63,205.63,205.63,205.63
28-Apr-00,203,203,203,203
27-Apr-00,200,200,200,200
26-Apr-00,197.75,197.75,197.75,197.75
25-Apr-00,199.25,199.25,199.25,199.25
24-Apr-00,200.17,200.17,200.17,200.17
21-Apr-00,201.08,201.08,201.08,201.08
20-Apr-00,202,202,202,202
19-Apr-00,201.25,201.25,201.25,201.25
18-Apr-00,195.25,195.25,195.25,195.25
17-Apr-00,192.75,192.75,192.75,192.75
14-Apr-00,192.5,192.5,192.5,192.5
13-Apr-00,193.75,193.75,193.75,193.75
12-Apr-00,188.25,188.25,188.25,188.25
11-Apr-00,191.5,191.5,191.5,191.5
10-Apr-00,191.25,191.25,191.25,191.25
7-Apr-00,196.5,196.5,196.5,196.5
6-Apr-00,197.5,197.5,197.5,197.5
5-Apr-00,197,197,197,197
4-Apr-00,195,195,195,195
3-Apr-00,201.75,201.75,201.75,201.75
31-Mar-00,198.75,198.75,198.75,198.75
30-Mar-00,196.5,196.5,196.5,196.5
29-Mar-00,195.75,195.75,195.75,195.75
28-Mar-00,202,202,202,202
27-Mar-00,202.25,202.25,202.25,202.25
24-Mar-00,205.75,205.75,205.75,205.75
23-Mar-00,201.25,201.25,201.25,201.25
22-Mar-00,203.5,203.5,203.5,203.5
21-Mar-00,202,202,202,202
20-Mar-00,201.5,201.5,201.5,201.5
17-Mar-00,209.25,209.25,209.25,209.25
16-Mar-00,207.5,207.5,207.5,207.5
15-Mar-00,206.25,206.25,206.25,206.25
14-Mar-00,213,213,213,213
13-Mar-00,217.25,217.25,217.25,217.25
10-Mar-00,218.75,218.75,218.75,218.75
9-Mar-00,223.25,223.25,223.25,223.25
8-Mar-00,237.75,237.75,237.75,237.75
7-Mar-00,244,244,244,244
6-Mar-00,230,230,230,230
3-Mar-00,229,229,229,229
2-Mar-00,230.25,230.25,230.25,230.25
1-Mar-00,227.25,227.25,227.25,227.25
29-Feb-00,223,223,223,223
28-Feb-00,219.5,219.5,219.5,219.5
25-Feb-00,220.25,220.25,220.25,220.25
24-Feb-00,213,213,213,213
23-Feb-00,211.75,211.75,211.75,211.75
22-Feb-00,208.5,208.5,208.5,208.5
21-Feb-00,209.75,209.75,209.75,209.75
18-Feb-00,212,212,212,212
17-Feb-00,214.75,214.75,214.75,214.75
