Date,Open,High,Low,Close,Volume,Adj. Close*
14-Oct-02,2996.16,3013.39,2993.25,3003.39,0,3003.39
11-Oct-02,2990.99,3005.78,2989.06,2995.77,0,2995.77
10-Oct-02,2954.13,2972.62,2934.76,2969.49,0,2969.49
9-Oct-02,2982.01,2992.91,2953.13,2956.89,0,2956.89
8-Oct-02,2954.29,2978.91,2953.95,2973.35,0,2973.35
7-Oct-02,2939.18,2957.99,2927.47,2952.78,0,2952.78
4-Oct-02,2934.67,2942.16,2916.38,2930.51,0,2930.51
3-Oct-02,2963.61,2970.29,2921.69,2938.06,0,2938.06
1-Oct-02,2976.04,2987.48,2948.75,2959.66,0,2959.66
30-Sep-02,3029.56,3029.56,2988.43,2991.36,0,2991.36
27-Sep-02,3020.23,3039.43,3012.82,3037.26,0,3037.26
26-Sep-02,3011.42,3038.06,3011.42,3014.69,0,3014.69
25-Sep-02,2973.97,3023.65,2973.97,3021.08,0,3021.08
24-Sep-02,3005.92,3032.22,2993.01,3022.25,0,3022.25
23-Sep-02,3030.65,3035.93,3008.5,3021.28,0,3021.28
20-Sep-02,3010.14,3030.8,2993.78,3024.35,0,3024.35
19-Sep-02,3071.1,3071.1,3027.5,3040.3,0,3040.3
18-Sep-02,3084.02,3094.61,3062.43,3069.78,0,3069.78
17-Sep-02,3078.16,3107.89,3078.16,3103.9,0,3103.9
16-Sep-02,3107.89,3109.91,3072.43,3076.01,0,3076.01
13-Sep-02,3115.98,3127.29,3093.71,3098.94,0,3098.94
12-Sep-02,3125.55,3136.88,3120.45,3131.34,0,3131.34
11-Sep-02,3096.93,3130.41,3096.93,3125.66,0,3125.66
9-Sep-02,3121.9,3126.3,3081.63,3089.47,0,3089.47
6-Sep-02,3176.15,3177.49,3131.15,3141.11,0,3141.11
5-Sep-02,3185.32,3197.29,3166.22,3181.47,0,3181.47
4-Sep-02,3145.34,3180.6,3126.75,3173.35,0,3173.35
3-Sep-02,3190.2,3193.44,3150.1,3159.77,0,3159.77
2-Sep-02,3206.81,3227.62,3179.33,3187.26,0,3187.26
30-Aug-02,3110.98,3185.08,3109.97,3181.23,0,3181.23
29-Aug-02,3099.12,3117.53,3091.56,3114.16,0,3114.16
28-Aug-02,3093.66,3103.38,3078.13,3099.38,0,3099.38
27-Aug-02,3128.41,3142.52,3093.9,3097.85,0,3097.85
26-Aug-02,3119,3130.78,3110.93,3123.6,0,3123.6
23-Aug-02,3083,3120.69,3083,3119.18,0,3119.18
22-Aug-02,3094.18,3109.72,3077.89,3080.7,0,3080.7
21-Aug-02,3083.82,3109.91,3082.02,3084.38,0,3084.38
20-Aug-02,3071.13,3094.8,3067.92,3089.58,0,3089.58
19-Aug-02,3073.13,3079.99,3061.39,3064.04,0,3064.04
